species,m_body_size,unsexed_body_size,m_bill_size,unsexed_bill_size
Larus livens,,1321.5,21.77,
Larus marinus,1806.0,,65.5,
Larus occidentalis,973.0,,56.5,
Laterallus jamaicensis,34.6,,14.3,
Legatus leucophaius,23.0,23.0,,
Leptotila verreauxi,124.0,,,
Leucosticte atrata,25.1,,,
Leucosticte australis,24.8,,,
Leucosticte tephrocotis,24.1,,,
Limnodromus griseus,111.0,,58.8,
Limnodromus scolopaceus,100.0,,62.1,
Limnothlypis swainsonii,13.6,13.6,,
Limosa fedoa,320.0,,96.6,
Limosa haemastica,222.0,,74.5,
Limosa lapponica,313.0,,80.4,
Limosa limosa,264.0,,92.1,
Locustella lanceolata,11.8,,13.3,
Lonchura cucullata,,9.2,11.2,
Lonchura punctulata,,14.0,,
Lophodytes cucullatus,680.0,,,
Loxia curvirostra,41.2,,23.0,
Loxia leucoptera,34.0,,19.6,
Luscinia calliope,26.9,,,
Luscinia svecica,18.2,,15.9,
Manacus candei,18.2,,,
Megaceryle alcyon,143.6,,51.8,
Melanerpes aurifrons,85.4,,33.15,
Melanerpes carolinus,77.3,72.25,30.55,
Melanerpes erythrocephalus,,71.6,27.3,
Melanerpes formicivorus,80.9,,31.7,
Melanerpes lewis,106.3,,24.2,
Melanerpes uropygialis,72.9,,29.8,
Melanitta fusca,1794.0,2003.41,,
Melanitta perspicillata,1000.0,,,
Meleagris gallopavo,7400.0,,34.8,
Melopsittacus undulatus,29.3,,9.7,
Melospiza georgiana,18.8,,8.2,
Melospiza lincolnii,19.0,,,
Melospiza melodia,25.0,,15.87,
Melozone kieneri,,47.55,,
Mergellus albellus,652.0,,,
Mergus merganser,1709.0,1709.0,,
Mergus serrator,1135.0,1137.5,,
Mesophoyx intermedia,,,,71.0
Micrastur ruficollis,161.0,,,
Micrathene whitneyi,43.0,44.0,8.7,
Mimus polyglottos,50.5,,,
Mniotilta varia,,12.0,11.55,
Molothrus aeneus,68.9,,22.2,
Molothrus ater,47.5,,17.3,
Molothrus bonariensis,40.0,,12.8,
Morus bassanus,2932.0,,100.1,
Motacilla alba,21.6,,16.2,
Motacilla cinerea,17.4,,16.1,
Myadestes townsendi,32.4,,8.6,
Mycteria americana,2640.0,,234.0,
Myiarchus antillarum,,23.615,,
Myiarchus cinerascens,28.7,,,
Myiarchus crinitus,,33.5,15.08,
Myiarchus sagrae,,18.167,,
Myiarchus tuberculifer,21.0,,17.8,
Myiarchus tyrannulus,44.5,38.0,,23.8
Myioborus miniatus,,14.0,,
Myioborus pictus,9.7,9.4,8.2,
Myiodynastes luteiventris,46.7,,24.0,
Myiodynastes maculatus,43.0,43.0,,
Myiopagis viridicata,14.0,14.0,,
Myiopsitta monachus,,120.0,20.0,
Nucifraga columbiana,137.0,,40.1,
Numenius americanus,640.1,,145.3,
Numenius borealis,,375.0,,
Numenius madagascariensis,697.2,,158.0,
Numenius phaeopus,368.0,,78.6,
Numenius tahitiensis,378.0,,82.8,
Numida meleagris,1597.0,,,
Nyctanassa violacea,716.0,,71.0,
Nycticorax nycticorax,682.0,,,70.8
Nyctidromus albicollis,53.6,,11.7,
Nymphicus hollandicus,86.5,,14.3,
Oceanites oceanicus,33.6,,12.3,
Oceanodroma castro,,45.3,,15.5
Oceanodroma furcata,,54.0,,15.0
Oceanodroma homochroa,,38.1,,13.1
Oceanodroma leucorhoa,45.3,31.64,16.6,
Oceanodroma melania,,61.5,,15.7
Oenanthe oenanthe,24.1,,17.5,
Onychorhynchus coronatus,18.6,18.6,,
Oporornis agilis,15.3,,11.9,
Oreortyx pictus,244.7,,15.3,
Oreoscoptes montanus,44.0,,12.4,
Ortalis vetula,584.0,521.5,23.3,
Otus flammeolus,54.7,,9.5,
Oxyura jamaicensis,590.0,,,
Padda oryzivora,,,18.2,
Pagophila eburnea,617.0,,35.3,
Pandion haliaetus,1428.0,,,
Parabuteo unicinctus,689.7,,,
Paroaria coronata,39.7,39.7,,
Passer domesticus,30.2,,15.3,
Passer montanus,22.6,,13.3,
Passerculus sandwichensis,19.5,18.885,,
Passerella iliaca,,36.1,,12.0
Passerina amoena,15.4,,8.7,
Passerina ciris,16.6,,,
Passerina cyanea,15.0,,10.56,
Passerina versicolor,13.0,,,
Pelagodroma marina,40.2,40.2,15.9,
Pelecanus erythrorhynchos,6920.0,,342.3,
Pelecanus occidentalis,3290.0,,288.0,
Penelopina nigra,,890.0,,
Perdix perdix,378.0,,12.9,
Perisoreus canadensis,75.8,,21.3,
Peucedramus taeniatus,10.8,10.6,,
Phaeochroa cuvierii,9.3,,19.8,
Phaethon lepturus,,367.3,,51.2
Phaethon rubricauda,218.7,,62.4,
Phainopepla nitens,20.7,22.1,10.9,
Phalacrocorax auritus,2453.0,,57.4,
Phalacrocorax brasilianus,1260.0,,48.0,
Phalacrocorax carbo,2400.0,,69.0,
Phalacrocorax pelagicus,2034.0,,47.9,
Phalacrocorax penicillatus,2570.0,,,
Phalacrocorax urile,2428.1,,55.9,
Phalaenoptilus nuttallii,47.2,,,
Phalaropus lobatus,32.4,,21.1,
Phasianus colchicus,1186.0,,,
Pheucticus ludovicianus,43.6,,,16.9
Pheucticus melanocephalus,46.1,,,
Philomachus pugnax,199.0,,35.0,
Phoenicopterus ruber,3579.0,,121.0,
Phylloscopus borealis,9.7,,13.8,
Phylloscopus fuscatus,11.0,,12.3,
Phylloscopus sibilatrix,9.8,,12.8,
Pica nuttalli,166.0,,25.0,
Picoides albolarvatus,63.0,,27.8,
Picoides arcticus,78.0,72.0,33.0,
Picoides borealis,48.5,,22.6,
Picoides nuttallii,39.3,38.3,13.8,
Picoides pubescens,27.8,,16.02,
Picoides scalaris,,30.3,,
Picoides stricklandi,49.4,,22.45,
Picoides villosus,69.8,,34.33,
Pinicola enucleator,53.3,,21.0,
Pipilo chlorurus,29.0,29.4,12.7,
Pipilo erythrophthalmus,41.7,43.665,14.3,
Pipilo ocai,,64.5,,
Pipra mentalis,17.5,15.0,,
Piranga bidentata,,34.7,,
Piranga erythrocephala,,21.8,,
Piranga flava,45.0,38.0,17.5,
Piranga ludoviciana,30.3,30.0,15.4,
