,,,,,,,TAXONOMIC SOURCES,,,,,,,,,,,,,,,,,,,,
Megapodiidae,Megapodes,,Megapodius stairi,,NR,NR,,,,Y,,,,,,,,,,,,,"This taxon was named by Gray in 1861 from a single egg collected in 1847, reportedly on Ninafo'ou (and therefore probably a synonym of Polynesian Megapode M. pritchardi), and now in Tring (Knox and Walters 1994). M. andersoni (reportedly from New Caledonia) and M. burnabyi (reportedly from Ha'apai Island, Tongatapu, Tonga) are also known only from dubious nineteenth century eggs, as are undescribed megapodes from Lord Howe Island, Australia and Great Andaman Island, India (Knox and Walters 1994) and Sunday Island in the Kermadec Islands, New Zealand (Cheeseman 1890). ",32379,,,
Megapodiidae,Megapodes,,Megapodius forstenii,"G. R. Gray, 1847",NR,NR,,,,,,,,,,,,,Y,Jones et al. (1995),,,"Megapodius forstenii was split, with some justification, from M. reinwardt by Jones et al. (1995), of which it has long been treated as a subspecies. However, Jones et al. (1995) also remark that in structure forstenii is ""close to M. freycinet and (especially) M. geelvinkianus…"" but do not develop the point. However, the case for a close relationship between these forms is supported on mensural and distributional grounds and on the molecular evidence of Birks and Edwards (2002). The BirdLife Taxonomic Working Group therefore does not recognise forstenii as a separate species and consider that it probably best regarded as a subspecies of freycinet.",31679,,,
Cracidae,Guans and curassows,Highland Guan,Penelopina nigra,"(Fraser, 1852)",R,VU,,Y,,,,,,,,Y,Y,,,,,,,94,,,
Cracidae,Guans and curassows,Black Guan,Chamaepetes unicolor,"Salvin, 1867",R,NT,,Y,,,,,,,,Y,Y,,,,,,,92,,,
Cracidae,Guans and curassows,Sickle-winged Guan,Chamaepetes goudotii,"(Lesson, 1828)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,93,,,
Cracidae,Guans and curassows,Band-tailed Guan,Penelope argyrotis,"(Bonaparte, 1856)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,72,,,
Cracidae,Guans and curassows,Bearded Guan,Penelope barbata,"Chapman, 1921",R,VU,,,,,,,,,Y,Y,Y,,,,,,,73,,,
Cracidae,Guans and curassows,Baudo Guan,Penelope ortoni,"Salvin, 1874",R,EN,,,,,,,,,Y,Y,Y,,,,,Baudó Guan (14);,,74,,,
Cracidae,Guans and curassows,Andean Guan,Penelope montagnii,"(Bonaparte, 1856)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,75,,,
Cracidae,Guans and curassows,Marail Guan,Penelope marail,"(Müller, 1776)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,76,,,
