Cynocephalus variegatus,1000.0
Cynocephalus volans,
Dendrohyrax arboreus,2950.0
Dendrohyrax dorsalis,3116.67
Heterohyrax brucei,2456.67
Procavia capensis,3600.0
Amblysomus hottentotus,64.8
Chrysochloris stuhlmanni,39.8
Chrysochloris asiatica,42.0
Chrysospalax villosus,104.0
Eremitalpa granti,23.2
Atelerix algirus,745.0
Atelerix albiventris,334.0
Atelerix frontalis,309.0
Echinosorex gymnura,956.5
Erinaceus concolor,719.0
Erinaceus europaeus,771.0
Hemiechinus micropus,171.0
Hemiechinus hypomelas,292.0
Hemiechinus aethiopicus,358.0
Hemiechinus auritus,342.0
Hylomys suillus,64.0
Solenodon cubanus,1000.0
Solenodon paradoxus,900.0
Blarina carolinensis,9.25
Blarina hylophaga,14.5
Blarina brevicauda,21.63
Crocidura fuliginosa,12.0
Crocidura turba,15.0
Crocidura canariensis,7.5
Crocidura fuscomurina,5.0
Crocidura planiceps,2.5
Crocidura crossei,7.2
Crocidura mariquensis,9.7
Crocidura viaria,17.1
Crocidura flavescens,22.0
Crocidura leucodon,9.91
Crocidura hirta,13.67
Crocidura russula,11.63
Crocidura suaveolens,7.7
Cryptotis parva,6.2
Diplomesodon pulchellum,10.0
Myosorex varius,11.0
Myosorex cafer,13.0
Myosorex geata,
Neomys anomalus,16.0
Neomys fodiens,14.32
Notiosorex crawfordi,4.15
Sorex mirabilis,
Sorex dispar,4.9
Sorex pacificus,6.71
Sorex bairdii,8.34
Sorex bendirii,15.88
Sorex coronatus,9.6
Sorex merriami,4.0
Sorex cinereus,4.26
Sorex arcticus,8.2
Sorex ornatus,5.57
Sorex hoyi,4.37
Sorex monticolus,6.0
Sorex trowbridgii,4.44
Sorex minutus,7.25
Sorex haydeni,3.0
Sorex araneus,8.98
Sorex longirostris,3.68
Sorex nanus,2.5
Sorex fumeus,8.2
Sorex vagrans,5.58
Sorex palustris,12.47
Suncus murinus,45.87
Suncus varilla,
Suncus etruscus,2.1
Surdisorex norae,
Surdisorex polulus,
Sylvisorex granti,
Condylura cristata,55.33
Desmana moschata,383.0
Galemys pyrenaicus,61.3
Neurotrichus gibbsii,10.0
Parascalops breweri,50.18
Scalopus aquaticus,74.6
Scapanus townsendii,118.8
Scapanus orarius,76.9
Scapanus latimanus,52.0
Talpa altaica,85.0
Talpa europaea,133.3
Urotrichus talpoides,19.5
Echinops telfairi,180.0
Geogale aurita,6.7
Hemicentetes semispinosus,149.6
Limnogale mergulus,79.5
Microgale dobsoni,37.8
Microgale talazaci,48.1
Micropotamogale lamottei,69.6
Potamogale velox,761.7
Setifer setosus,259.45
Tenrec ecaudatus,884.0
Brachylagus idahoensis,421.33
Bunolagus monticularis,1250.0
Caprolagus hispidus,2500.0
Lepus nigricollis,2099.5
Lepus callotis,1820.0
Lepus insularis,
Lepus tolai,2110.0
Lepus othus,4506.33
Lepus arcticus,3766.0
Lepus timidus,3030.43
Lepus americanus,1489.25
Lepus townsendii,3035.5
Lepus capensis,2358.0
Lepus alleni,3759.67
Lepus californicus,2317.0
Lepus europaeus,3673.33
Lepus saxatilis,2686.0
Oryctolagus cuniculus,1558.25
Poelagus marjorita,2500.0
Pronolagus randensis,2470.0
Pronolagus crassicaudatus,1945.0
Pronolagus rupestris,1700.0
Romerolagus diazi,494.5
Sylvilagus brasiliensis,950.0
Sylvilagus palustris,1233.0
Sylvilagus transitionalis,902.6
Sylvilagus aquaticus,2120.67
Sylvilagus bachmani,707.67
Sylvilagus nuttallii,759.96
Sylvilagus floridanus,1269.0
Sylvilagus audubonii,909.38
Ochotona macrotis,167.0
Ochotona curzoniae,
Ochotona collaris,129.0
Ochotona roylei,115.0
Ochotona dauurica,128.0
Ochotona alpina,
Ochotona princeps,140.2
Ochotona rutila,
Ochotona pallasi,
Ochotona pusilla,
Ochotona rufescens,250.0
Elephantulus rupestris,60.0
Elephantulus fuscus,
Elephantulus intufi,51.95
Elephantulus myurus,51.94
Elephantulus rozeti,48.0
Elephantulus rufescens,58.0
Elephantulus brachyrhynchus,44.33
Macroscelides proboscideus,40.0
Petrodromus tetradactylus,220.0
Rhynchocyon chrysopygus,540.0
Equus asinus,250000.0
Equus kiang,275000.0
Equus grevyi,384000.0
Equus zebra,296000.0
Equus burchellii,257000.0
Equus hemionus,230000.0
Ceratotherium simum,2233333.33
Dicerorhinus sumatrensis,1266666.67
Diceros bicornis,927766.67
Rhinoceros unicornis,1602333.33
Rhinoceros sondaicus,1750000.0
Tapirus pinchaque,148950.0
Tapirus terrestris,200000.0
Tapirus indicus,296250.0
Tapirus bairdii,300000.0
Manis gigantea,33000.0
Manis javanica,5150.0
Manis pentadactyla,2350.0
Manis tricuspis,1480.0
Manis crassicaudata,3900.0
Manis tetradactyla,2750.0
Manis temminckii,7230.0
